ticker,balance_sheet_status,balance_sheet_rows,balance_sheet_error,profit_sheet_status,profit_sheet_rows,profit_sheet_error,cash_flow_sheet_status,cash_flow_sheet_rows,cash_flow_sheet_error
000001,cached,48,,cached,48,,cached,48,
000002,cached,48,,cached,48,,cached,48,
000008,cached,48,,cached,48,,cached,48,
000009,cached,48,,cached,48,,cached,48,
000027,cached,48,,cached,48,,cached,48,
000039,cached,48,,cached,48,,cached,48,
000046,cached,48,,cached,48,,cached,48,
000060,cached,48,,cached,48,,cached,48,
000061,cached,48,,cached,48,,cached,48,
000063,cached,48,,cached,48,,cached,48,
000066,cached,48,,cached,48,,cached,48,
000069,cached,48,,cached,48,,cached,48,
000100,cached,48,,cached,48,,cached,48,
000156,cached,48,,cached,48,,cached,48,
000157,cached,48,,cached,48,,cached,48,
000166,cached,47,,cached,48,,cached,48,
000301,cached,48,,cached,48,,cached,48,
000333,success,48,,success,48,,success,48,
000338,success,48,,success,48,,success,48,
000400,success,48,,success,48,,success,48,
000402,success,48,,success,48,,success,48,
000408,success,48,,success,48,,success,48,
000413,success,42,,success,42,,success,42,
000415,success,48,,success,48,,success,48,
000423,success,48,,success,48,,success,48,
000425,success,48,,success,48,,success,48,
000503,success,48,,success,48,,success,48,
000538,success,48,,success,48,,success,48,
000539,success,48,,success,48,,success,48,
000540,success,43,,success,43,,success,43,
000553,success,48,,success,48,,success,48,
000555,success,48,,success,48,,success,48,
000559,success,48,,success,48,,success,48,
000568,success,48,,success,48,,success,48,
000581,success,48,,success,48,,success,48,
000596,success,48,,success,48,,success,48,
000598,success,48,,success,48,,success,48,
000617,success,48,,success,48,,success,48,
000623,success,48,,success,48,,success,48,
000625,success,48,,success,48,,success,48,
000627,success,16,,success,16,,success,16,
000629,success,48,,success,48,,success,48,
000630,success,48,,success,48,,success,48,
000651,success,48,,success,48,,success,48,
000656,success,48,,success,48,,success,48,
000661,success,48,,success,48,,success,48,
000671,success,48,,success,48,,success,48,
000686,success,48,,success,48,,success,48,
000703,success,48,,success,48,,success,48,
000708,success,48,,success,48,,success,48,
000709,success,48,,success,48,,success,48,
000712,success,48,,success,48,,success,48,
000718,success,48,,success,48,,success,48,
000723,success,48,,success,48,,success,48,
000725,success,48,,success,48,,success,48,
000728,success,48,,success,48,,success,48,
000729,success,48,,success,48,,success,48,
000733,success,48,,success,48,,success,48,
000738,success,48,,success,48,,success,48,
000750,success,48,,success,48,,success,48,
000768,success,48,,success,48,,success,48,
000776,success,48,,success,48,,success,48,
000778,success,48,,success,48,,success,48,
