ticker,rows,available_date_coverage,report_date_coverage
000001,120,1.0,1.0
000002,120,1.0,1.0
000008,120,1.0,1.0
000009,120,1.0,1.0
000027,120,1.0,1.0
000039,120,1.0,1.0
000046,97,1.0,1.0
000060,120,1.0,1.0
000061,120,1.0,1.0
000063,120,1.0,1.0
000066,120,1.0,1.0
000069,120,1.0,1.0
000100,120,1.0,1.0
000156,120,1.0,1.0
000157,120,1.0,1.0
000166,120,1.0,1.0
000301,120,1.0,1.0
000333,120,1.0,1.0
000338,120,1.0,1.0
000400,120,1.0,1.0
000402,120,1.0,1.0
000408,120,1.0,1.0
000413,105,1.0,1.0
000415,120,1.0,1.0
000423,120,1.0,1.0
000425,120,1.0,1.0
000503,120,1.0,1.0
000538,120,1.0,1.0
000539,120,1.0,1.0
000540,90,1.0,1.0
000553,120,1.0,1.0
000555,120,1.0,1.0
000559,120,1.0,1.0
000568,120,1.0,1.0
000581,120,1.0,1.0
000596,120,1.0,1.0
000598,120,1.0,1.0
000617,120,1.0,1.0
000623,120,1.0,1.0
000625,120,1.0,1.0
000627,116,0.3448275862068966,0.3448275862068966
000629,120,1.0,1.0
000630,120,1.0,1.0
000651,120,1.0,1.0
000656,120,1.0,1.0
000661,120,1.0,1.0
000671,91,1.0,1.0
000686,120,1.0,1.0
000703,120,1.0,1.0
000708,120,1.0,1.0
000709,120,1.0,1.0
000712,120,1.0,1.0
000718,120,1.0,1.0
000723,120,1.0,1.0
000725,120,1.0,1.0
000728,120,1.0,1.0
000729,120,1.0,1.0
000733,120,1.0,1.0
000738,120,1.0,1.0
000750,120,1.0,1.0
000768,120,1.0,1.0
000776,120,1.0,1.0
000778,120,1.0,1.0
000783,120,1.0,1.0
000786,120,1.0,1.0
000792,120,1.0,1.0
000793,120,1.0,1.0
000800,120,1.0,1.0
000807,120,1.0,1.0
000825,120,1.0,1.0
000826,120,1.0,1.0
000831,120,1.0,1.0
000839,120,1.0,1.0
000858,120,1.0,1.0
000860,120,1.0,1.0
000876,120,1.0,1.0
000877,120,1.0,1.0
000883,120,1.0,1.0
000895,120,1.0,1.0
000898,120,1.0,1.0
000917,120,1.0,1.0
000937,120,1.0,1.0
000938,120,1.0,1.0
000959,120,1.0,1.0
000961,102,1.0,1.0
000963,120,1.0,1.0
000975,120,1.0,1.0
000977,120,1.0,1.0
000983,120,1.0,1.0
000999,120,1.0,1.0
001289,48,1.0,1.0
001391,13,1.0,1.0
001965,97,1.0,1.0
001979,120,1.0,1.0
002001,120,1.0,1.0
002007,120,1.0,1.0
002008,120,1.0,1.0
002010,120,1.0,1.0
002024,120,1.0,1.0
002027,120,1.0,1.0
002028,120,1.0,1.0
002032,120,1.0,1.0
002038,120,1.0,1.0
002044,120,1.0,1.0
002049,120,1.0,1.0
002050,120,1.0,1.0
002064,120,1.0,1.0
002065,120,1.0,1.0
002074,120,1.0,1.0
002081,120,1.0,1.0
002085,120,1.0,1.0
002120,120,1.0,1.0
002129,120,1.0,1.0
002131,120,1.0,1.0
002142,120,1.0,1.0
002146,120,1.0,1.0
002152,120,1.0,1.0
002153,120,1.0,1.0
002157,120,1.0,1.0
002174,120,1.0,1.0
002179,120,1.0,1.0
002180,120,1.0,1.0
002183,120,1.0,1.0
002195,120,1.0,1.0
002202,120,1.0,1.0
002230,120,1.0,1.0
002236,120,1.0,1.0
002241,120,1.0,1.0
002252,120,1.0,1.0
002271,120,1.0,1.0
002292,120,1.0,1.0
002294,120,1.0,1.0
002299,120,1.0,1.0
002304,120,1.0,1.0
002310,120,1.0,1.0
002311,120,1.0,1.0
002352,120,1.0,1.0
002353,120,1.0,1.0
002371,120,1.0,1.0
002375,120,1.0,1.0
002384,120,1.0,1.0
002385,120,1.0,1.0
002399,120,1.0,1.0
002410,120,1.0,1.0
002411,90,1.0,1.0
002414,120,1.0,1.0
002415,120,1.0,1.0
002422,120,1.0,1.0
002424,120,1.0,1.0
002426,120,1.0,1.0
002450,65,1.0,1.0
002456,120,1.0,1.0
002459,120,1.0,1.0
002460,120,1.0,1.0
002463,120,1.0,1.0
002465,120,1.0,1.0
002466,120,1.0,1.0
002468,120,1.0,1.0
002470,120,1.0,1.0
002475,120,1.0,1.0
002493,120,1.0,1.0
002500,120,1.0,1.0
002508,120,1.0,1.0
002555,120,1.0,1.0
002558,120,1.0,1.0
002568,120,1.0,1.0
002572,120,1.0,1.0
002594,120,1.0,1.0
002600,120,1.0,1.0
002601,120,1.0,1.0
002602,120,1.0,1.0
002603,120,1.0,1.0
002607,120,1.0,1.0
002608,120,1.0,1.0
002624,120,1.0,1.0
002625,120,1.0,1.0
002648,120,1.0,1.0
002673,120,1.0,1.0
002709,120,1.0,1.0
002714,120,1.0,1.0
002736,120,1.0,1.0
002739,120,1.0,1.0
002756,120,1.0,1.0
002773,120,1.0,1.0
002791,118,1.0,1.0
002797,116,1.0,1.0
002812,112,1.0,1.0
002821,110,1.0,1.0
002831,109,1.0,1.0
002839,108,1.0,1.0
002841,108,1.0,1.0
002916,97,1.0,1.0
002920,97,1.0,1.0
002925,96,1.0,1.0
002938,88,1.0,1.0
002939,87,1.0,1.0
002945,84,1.0,1.0
002958,82,1.0,1.0
003816,77,1.0,1.0
300002,120,1.0,1.0
300003,120,1.0,1.0
300014,120,1.0,1.0
300015,120,1.0,1.0
300017,120,1.0,1.0
300024,120,1.0,1.0
300027,120,1.0,1.0
300033,120,1.0,1.0
300058,120,1.0,1.0
300059,120,1.0,1.0
300070,120,1.0,1.0
300072,120,1.0,1.0
300085,120,1.0,1.0
300104,54,1.0,1.0
300122,120,1.0,1.0
300124,120,1.0,1.0
300133,120,1.0,1.0
300136,120,1.0,1.0
300142,120,1.0,1.0
300144,120,1.0,1.0
300146,120,1.0,1.0
300168,120,1.0,1.0
300182,120,1.0,1.0
300207,120,1.0,1.0
300223,120,1.0,1.0
300251,120,1.0,1.0
300274,120,1.0,1.0
300296,120,1.0,1.0
300308,120,1.0,1.0
300315,120,1.0,1.0
300316,120,1.0,1.0
300347,120,1.0,1.0
300394,120,1.0,1.0
300408,120,1.0,1.0
300413,120,1.0,1.0
300418,120,1.0,1.0
300433,120,1.0,1.0
300442,120,1.0,1.0
300450,120,1.0,1.0
300454,92,1.0,1.0
300476,120,1.0,1.0
300496,120,1.0,1.0
300498,120,1.0,1.0
300502,118,1.0,1.0
300529,113,1.0,1.0
300558,110,1.0,1.0
300595,108,1.0,1.0
300601,107,1.0,1.0
300628,106,1.0,1.0
300661,103,1.0,1.0
300676,102,1.0,1.0
300677,102,1.0,1.0
300750,91,1.0,1.0
300751,86,1.0,1.0
300759,84,1.0,1.0
300760,87,1.0,1.0
300763,82,1.0,1.0
300769,81,1.0,1.0
300782,79,1.0,1.0
300803,74,1.0,1.0
300832,68,1.0,1.0
300866,65,1.0,1.0
300888,64,1.0,1.0
300896,64,1.0,1.0
300919,61,1.0,1.0
300957,58,1.0,1.0
300979,57,1.0,1.0
300999,63,1.0,1.0
301236,46,1.0,1.0
301269,42,1.0,1.0
302132,120,1.0,1.0
600000,120,1.0,1.0
600004,120,1.0,1.0
600005,13,1.0,1.0
600008,120,1.0,1.0
600009,120,1.0,1.0
600010,120,1.0,1.0
600011,120,1.0,1.0
600015,120,1.0,1.0
600016,120,1.0,1.0
600018,120,1.0,1.0
600019,120,1.0,1.0
600021,120,1.0,1.0
600022,120,1.0,1.0
600023,120,1.0,1.0
600025,97,1.0,1.0
600026,120,1.0,1.0
600027,120,1.0,1.0
600028,120,1.0,1.0
600029,120,1.0,1.0
600030,120,1.0,1.0
600031,120,1.0,1.0
600036,120,1.0,1.0
600037,120,1.0,1.0
600038,120,1.0,1.0
600039,120,1.0,1.0
600048,120,1.0,1.0
600050,120,1.0,1.0
600060,120,1.0,1.0
600061,120,1.0,1.0
600066,120,1.0,1.0
600068,68,1.0,1.0
600074,53,1.0,1.0
600079,120,1.0,1.0
600085,120,1.0,1.0
600089,120,1.0,1.0
600098,120,1.0,1.0
600100,120,1.0,1.0
600104,120,1.0,1.0
600109,120,1.0,1.0
600111,120,1.0,1.0
600115,120,1.0,1.0
600118,120,1.0,1.0
600132,120,1.0,1.0
600143,120,1.0,1.0
600150,120,1.0,1.0
600153,120,1.0,1.0
600157,120,1.0,1.0
600160,120,1.0,1.0
600161,120,1.0,1.0
600166,120,1.0,1.0
600170,120,1.0,1.0
600176,120,1.0,1.0
600177,120,1.0,1.0
600183,120,1.0,1.0
600188,120,1.0,1.0
600196,120,1.0,1.0
600208,120,1.0,1.0
600219,120,1.0,1.0
600221,120,1.0,1.0
600233,120,1.0,1.0
600252,120,1.0,1.0
600256,120,1.0,1.0
600271,120,1.0,1.0
600276,120,1.0,1.0
600297,103,1.0,1.0
600299,120,1.0,1.0
600309,120,1.0,1.0
600315,120,1.0,1.0
600317,61,1.0,1.0
600332,120,1.0,1.0
600339,120,1.0,1.0
600340,120,1.0,1.0
600346,120,1.0,1.0
600350,120,1.0,1.0
600352,120,1.0,1.0
600362,120,1.0,1.0
600369,120,1.0,1.0
600372,120,1.0,1.0
600373,120,1.0,1.0
600376,120,1.0,1.0
600377,120,1.0,1.0
600383,120,1.0,1.0
600390,120,1.0,1.0
600398,120,1.0,1.0
