strategy_name,signal_name,eta,clip_scheme,clip_lower,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,average_turnover,start_date,end_date,notes
Equal-factor,baseline,,baseline,,0,0.032696837015948166,0.16291486470199892,0.27619071590113914,-0.3472116737318187,0.0941697514502428,0.4931506849315068,0.4553517529602972,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR,baseline,,baseline,,0,0.06485575491529993,0.17317399450527554,0.44692355505001735,-0.29174630699632176,0.2223018881816304,0.5342465753424658,0.4646853958671929,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + monthly EOT drift,monthly_eot,1.0,no_clip,0.0,0,0.06734765583839941,0.16934263823992166,0.4670914357975756,-0.28568668144146137,0.23573957140245366,0.547945205479452,0.45238371643061687,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=0.5 clip_0.5,12w_mean,0.5,clip_0.5,0.5,0,0.06301108997299365,0.17497969061035193,0.4341109983116831,-0.30798920332504975,0.20458863262973595,0.5342465753424658,0.4740422567912699,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=0.5 clip_0.7,12w_mean,0.5,clip_0.7,0.7,0,0.06302296344801772,0.17405312049632823,0.43551392790729887,-0.3062565744133372,0.20578485072114464,0.5342465753424658,0.46949152542372874,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=0.5 clip_0.8,12w_mean,0.5,clip_0.8,0.8,0,0.06085256887061319,0.17388026872839255,0.42397634495214015,-0.3127001462156781,0.19460358303971326,0.5205479452054794,0.4674328612336507,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=0.5 no_clip,12w_mean,0.5,no_clip,0.0,0,0.061125975708295144,0.17568627239734505,0.4229384101307901,-0.31204792395763736,0.19588650016653664,0.5342465753424658,0.4763331011531615,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.0 clip_0.5,12w_mean,1.0,clip_0.5,0.5,0,0.06734409457864476,0.17541728660135655,0.4566736087033111,-0.29868579913105153,0.22546801613791098,0.547945205479452,0.47589582849624634,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.0 clip_0.7,12w_mean,1.0,clip_0.7,0.7,0,0.06565763043634254,0.1732658980905422,0.4510452501146543,-0.299227736632358,0.21942361084330853,0.5342465753424658,0.467908830585868,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.0 clip_0.8,12w_mean,1.0,clip_0.8,0.8,0,0.06365784107698924,0.17336788873997314,0.4399997756664781,-0.3041596475523024,0.20929088256535683,0.5205479452054794,0.46835384258184354,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.0 no_clip,12w_mean,1.0,no_clip,0.0,0,0.0672097351632619,0.17752658764103055,0.4524084350831406,-0.3109442038804128,0.21614725190089198,0.5342465753424658,0.4820486030492996,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.5 clip_0.5,12w_mean,1.5,clip_0.5,0.5,0,0.06885849238372499,0.1754907998907516,0.464680021182546,-0.29306708964591055,0.23495811988620482,0.547945205479452,0.47705672935531296,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.5 clip_0.7,12w_mean,1.5,clip_0.7,0.7,0,0.06631123575806863,0.17278428497239295,0.4554256013733483,-0.29605465671160236,0.22398308641591416,0.5342465753424658,0.4672238990790186,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.5 clip_0.8,12w_mean,1.5,clip_0.8,0.8,0,0.06428951014254136,0.1733710025665056,0.44342384611598284,-0.3025678544755467,0.2124796444552149,0.5205479452054794,0.4688104635864097,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=1.5 no_clip,12w_mean,1.5,no_clip,0.0,0,0.07583913728164093,0.17835243988480456,0.4965527349778299,-0.27867218873371113,0.27214462134256967,0.547945205479452,0.48870056497175135,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 clip_0.5,12w_mean,2.0,clip_0.5,0.5,0,0.07350290157799688,0.1753869033916951,0.489713469775294,-0.2808205213222671,0.2617433413765571,0.547945205479452,0.47500193483476516,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 clip_0.7,12w_mean,2.0,clip_0.7,0.7,0,0.06706522093316347,0.1722656961501814,0.46044964545448047,-0.29130445189496545,0.23022381050786317,0.5342465753424658,0.4676805200835848,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 clip_0.8,12w_mean,2.0,clip_0.8,0.8,0,0.06517627227016298,0.1733108727418542,0.4483375964865693,-0.3008150851885314,0.21666557124060026,0.5205479452054794,0.4681216624100301,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 no_clip,12w_mean,2.0,no_clip,0.0,0,0.08533960599546986,0.17791711589733689,0.5470612158959921,-0.24640709948947614,0.34633582462633,0.547945205479452,0.4893777571395403,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 clip_0.5,4w_mean,0.5,clip_0.5,0.5,0,0.06510864598611321,0.17649419082461312,0.44309112364648406,-0.3155588033858029,0.2063280925378312,0.5342465753424658,0.4736282021515362,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 clip_0.7,4w_mean,0.5,clip_0.7,0.7,0,0.06679037865480475,0.1729561721629646,0.4577945976804202,-0.29599839894240076,0.2256443916367321,0.5342465753424658,0.466062998219952,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 clip_0.8,4w_mean,0.5,clip_0.8,0.8,0,0.06293039646901377,0.1736404743449009,0.43561268098513983,-0.30786629678059774,0.20440820293447515,0.5205479452054794,0.46514201687175905,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 no_clip,4w_mean,0.5,no_clip,0.0,0,0.06495637337268323,0.17666111779068017,0.44201237855281117,-0.31612269494580836,0.2054783614438642,0.5342465753424658,0.4747426669762402,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.0 clip_0.5,4w_mean,1.0,clip_0.5,0.5,0,0.06944076179702852,0.17764077383415247,0.46424499430690797,-0.31137203768033295,0.22301540727404429,0.5342465753424658,0.4722428604597168,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
