,reversal_1m,momentum_1m,momentum_3m,momentum_6m,momentum_12m,volatility_1m,volatility_3m,turnover_1m,turnover_3m,liquidity_1m
reversal_1m,1.0,-1.0,-0.5041743659444655,-0.35693980981175666,-0.26258551032856725,0.18600102022428902,0.05135474479256379,0.08621581446267051,0.006734222405746377,-0.09154371585850184
momentum_1m,-1.0,1.0,0.5041743659444655,0.35693980981175666,0.26258551032856725,-0.18600102022428902,-0.05135474479256379,-0.08621581446267051,-0.006734222405746377,0.09154371585850184
momentum_3m,-0.5041743659444655,0.5041743659444655,1.0,0.6517635878552259,0.4432877476050914,-0.2373009531113801,-0.19775895420429912,-0.12394729983413401,-0.07946377135539673,0.16951375535060265
momentum_6m,-0.35693980981175666,0.35693980981175666,0.6517635878552259,1.0,0.6438758800271818,-0.24236639489927622,-0.245279824065095,-0.12476643717708566,-0.10817036388809048,0.1976724223239778
momentum_12m,-0.26258551032856725,0.26258551032856725,0.4432877476050914,0.6438758800271818,1.0,-0.2460860799139592,-0.2572006569722926,-0.14622337207606614,-0.13401185293215012,0.23473582306875493
volatility_1m,0.18600102022428902,-0.18600102022428902,-0.2373009531113801,-0.24236639489927622,-0.2460860799139592,1.0,0.833148729335844,0.6258806194511728,0.5394053264134733,-0.6209737917673444
volatility_3m,0.05135474479256379,-0.05135474479256379,-0.19775895420429912,-0.245279824065095,-0.2572006569722926,0.833148729335844,1.0,0.6338167207145363,0.6492164173883388,-0.625982474167291
turnover_1m,0.08621581446267051,-0.08621581446267051,-0.12394729983413401,-0.12476643717708566,-0.14622337207606614,0.6258806194511728,0.6338167207145363,1.0,0.9459288200917002,-0.8042559007385827
turnover_3m,0.006734222405746377,-0.006734222405746377,-0.07946377135539673,-0.10817036388809048,-0.13401185293215012,0.5394053264134733,0.6492164173883388,0.9459288200917002,1.0,-0.7488465978721416
liquidity_1m,-0.09154371585850184,0.09154371585850184,0.16951375535060265,0.1976724223239778,0.23473582306875493,-0.6209737917673444,-0.625982474167291,-0.8042559007385827,-0.7488465978721416,1.0
