factor_name,lifecycle_state,weeks
liquidity_1m,Decaying,21
liquidity_1m,Dormant,441
liquidity_1m,Healthy,14
liquidity_1m,Recovering,17
liquidity_1m,Watch,14
momentum_12m,Decaying,13
momentum_12m,Dormant,143
momentum_12m,Healthy,229
momentum_12m,Recovering,1
momentum_12m,Watch,73
momentum_1m,Decaying,32
momentum_1m,Dormant,429
momentum_1m,Healthy,11
momentum_1m,Recovering,31
momentum_1m,Watch,3
momentum_3m,Decaying,59
momentum_3m,Dormant,398
momentum_3m,Healthy,34
momentum_3m,Recovering,5
momentum_3m,Watch,2
momentum_6m,Decaying,16
momentum_6m,Dormant,285
momentum_6m,Healthy,96
momentum_6m,Recovering,25
momentum_6m,Watch,64
reversal_1m,Decaying,15
reversal_1m,Dormant,120
reversal_1m,Healthy,297
reversal_1m,Watch,74
turnover_1m,Decaying,3
turnover_1m,Dormant,64
turnover_1m,Healthy,359
turnover_1m,Watch,81
turnover_3m,Decaying,1
turnover_3m,Dormant,86
turnover_3m,Healthy,338
turnover_3m,Watch,80
volatility_1m,Decaying,11
volatility_1m,Dormant,77
volatility_1m,Healthy,337
volatility_1m,Watch,82
volatility_3m,Decaying,12
volatility_3m,Dormant,96
volatility_3m,Healthy,331
volatility_3m,Watch,65
