strategy_name,cost_bps,nav,drawdown
Equal-factor,0,1.1083950304336454,-0.2542319580364194
Equal-factor,5,1.0903067783209972,-0.2638833921621767
Equal-factor,10,1.0725094863629392,-0.2734121645565377
Equal-factor,20,1.0377694055158173,-0.2921078272311193
ICIR,0,1.4140183917573248,-0.04161230297756868
ICIR,5,1.3914589344092132,-0.04225543702516621
ICIR,10,1.369253896012468,-0.04289824917458884
ICIR,20,1.3258852317097436,-0.04418290820625226
ICIR + monthly EOT drift,0,1.3451382411738344,-0.03660186304317714
ICIR + monthly EOT drift,5,1.3233488550959864,-0.03720492079765858
ICIR + monthly EOT drift,10,1.3019071310882497,-0.03780769770292569
ICIR + monthly EOT drift,20,1.2600449024238125,-0.039012409311434015
ICIR + weekly 12w_mean eta=0.5 clip_0.5,0,1.3422117659455537,-0.04077854419588467
ICIR + weekly 12w_mean eta=0.5 clip_0.5,5,1.3199362495190385,-0.04143251788154001
ICIR + weekly 12w_mean eta=0.5 clip_0.5,10,1.2980247495166604,-0.051894785635564156
ICIR + weekly 12w_mean eta=0.5 clip_0.5,20,1.2552704667705805,-0.0786613331418814
ICIR + weekly 12w_mean eta=0.5 clip_0.7,0,1.3798319927011542,-0.04077854419588467
ICIR + weekly 12w_mean eta=0.5 clip_0.7,5,1.3571898621420686,-0.0414325178815399
ICIR + weekly 12w_mean eta=0.5 clip_0.7,10,1.3349136450091978,-0.042086158941863516
ICIR + weekly 12w_mean eta=0.5 clip_0.7,20,1.2914357514296935,-0.06090050546377013
ICIR + weekly 12w_mean eta=0.5 clip_0.8,0,1.4020030317269607,-0.04077854419588489
ICIR + weekly 12w_mean eta=0.5 clip_0.8,5,1.3792448859771897,-0.0414325178815399
ICIR + weekly 12w_mean eta=0.5 clip_0.8,10,1.3568505686871515,-0.04208615894186374
ICIR + weekly 12w_mean eta=0.5 clip_0.8,20,1.3131305993550284,-0.04745221475646266
ICIR + weekly 12w_mean eta=0.5 no_clip,0,1.343014119962468,-0.04077854419588478
ICIR + weekly 12w_mean eta=0.5 no_clip,5,1.3205917853826876,-0.04143251788154012
ICIR + weekly 12w_mean eta=0.5 no_clip,10,1.2985379990956367,-0.05151989709643645
ICIR + weekly 12w_mean eta=0.5 no_clip,20,1.255512315974343,-0.07848382157853795
ICIR + weekly 12w_mean eta=1.0 clip_0.5,0,1.3958798055301125,-0.04077854419588467
