,size_z,roe_z,gross_profitability_z,ocf_to_assets_z,revenue_growth_z,earnings_growth_z,rolling_beta_z,idiosyncratic_volatility_z,downside_beta_z,roe_neutral_z,gross_profitability_neutral_z,ocf_to_assets_neutral_z,revenue_growth_neutral_z,earnings_growth_neutral_z,rolling_beta_neutral_z,idiosyncratic_volatility_neutral_z,downside_beta_neutral_z
size_z,1.0,0.37048095239129014,0.2856599893681959,0.1486178634411764,0.12619556834482412,0.17387068117017587,-0.13723966891046233,0.017254664967346074,-0.2476550262086382,0.02110006198030552,0.03347521168499137,0.08417344431788051,0.07311118240692553,-0.07151998439128542,-0.02248082179711875,0.013807001920264858,-0.03163083062436978
roe_z,0.37048095239129014,1.0,0.8669833713977729,0.46367604839174553,0.22979998176276592,0.41787178187123936,-0.14570683244239502,0.09503901965227037,-0.20976001732143076,0.6052946769867926,0.5533514562247204,0.2953291062024186,0.12706121051277475,0.1263251679709947,-0.07869789887532215,0.05402753210953385,-0.1169834647895057
gross_profitability_z,0.2856599893681959,0.8669833713977729,1.0,0.5215699713930584,0.2154636801145249,0.36030406713899243,-0.10651750923701814,0.10431208435782029,-0.18125961734333806,0.5596447365804652,0.650903006685478,0.3504279708630108,0.1210471509293848,0.11880432001783521,-0.08863218015457627,0.05615143329814558,-0.12644745085728684
ocf_to_assets_z,0.1486178634411764,0.46367604839174553,0.5215699713930584,1.0,0.12410106530829974,0.19697690736648865,-0.10126406332069054,0.04537135136379475,-0.09227132217374466,0.3063162105283263,0.36148422170557964,0.7356056329266312,0.08201957484326888,0.06288497417996426,-0.038025694680737694,0.03642848317665499,-0.03835191229073477
revenue_growth_z,0.12619556834482412,0.22979998176276592,0.2154636801145249,0.12410106530829974,1.0,0.529426346880143,0.021848780473293382,0.13966383416440817,-0.014232992602593563,0.12690558523761983,0.12650290848920642,0.08344626410227718,0.7315638024291309,0.28548592537686257,0.01596547603707346,0.10845217233587616,0.007079680707481192
earnings_growth_z,0.17387068117017587,0.41787178187123936,0.36030406713899243,0.19697690736648865,0.529426346880143,1.0,-0.004081606267830699,0.09076505647855403,-0.03889328519113258,0.23639842677374773,0.20643913191053706,0.13108437876146667,0.3670950412475088,0.5139414628566705,-0.03549068238792628,0.052439927746464714,-0.03295206686730104
rolling_beta_z,-0.13723966891046233,-0.14570683244239502,-0.10651750923701814,-0.10126406332069054,0.021848780473293382,-0.004081606267830699,1.0,0.43069749605605345,0.7616324146393347,-0.07373962428268561,-0.08569521485691484,-0.04167933410362916,-0.027832732992180913,-0.037422319920425,0.6639079071628923,0.2571456547186462,0.4833050642911984
idiosyncratic_volatility_z,0.017254664967346074,0.09503901965227037,0.10431208435782029,0.04537135136379475,0.13966383416440817,0.09076505647855403,0.43069749605605345,1.0,0.2748842020625283,0.03345089202068749,0.06489198541351733,0.047152446949746935,0.08885277334574776,0.01750261101048107,0.31800641208801683,0.7406842425550613,0.17700796430013827
downside_beta_z,-0.2476550262086382,-0.20976001732143076,-0.18125961734333806,-0.09227132217374466,-0.014232992602593563,-0.03889328519113258,0.7616324146393347,0.2748842020625283,1.0,-0.09854185613032022,-0.12804914769151635,-0.04276377106314964,-0.024389057403154293,-0.015922019278762207,0.5071772765217344,0.13946923052390706,0.6972156803403011
roe_neutral_z,0.02110006198030552,0.6052946769867926,0.5596447365804652,0.3063162105283263,0.12690558523761983,0.23639842677374773,-0.07373962428268561,0.03345089202068749,-0.09854185613032022,1.0,0.8058754012296812,0.44541020485368465,0.18517648488250787,0.2644142211003714,-0.09158959811115615,0.04992582347796557,-0.14110324166994606
gross_profitability_neutral_z,0.03347521168499137,0.5533514562247204,0.650903006685478,0.36148422170557964,0.12650290848920642,0.20643913191053706,-0.08569521485691484,0.06489198541351733,-0.12804914769151635,0.8058754012296812,1.0,0.491159241465198,0.2030078043068301,0.2273502203277582,-0.0907545179130505,0.08769561626694346,-0.15334932832235718
ocf_to_assets_neutral_z,0.08417344431788051,0.2953291062024186,0.3504279708630108,0.7356056329266312,0.08344626410227718,0.13108437876146667,-0.04167933410362916,0.047152446949746935,-0.04276377106314964,0.44541020485368465,0.491159241465198,1.0,0.12440925595851526,0.12131595060349253,-0.039214458425457135,0.05758673822774941,-0.0454497279074901
revenue_growth_neutral_z,0.07311118240692553,0.12706121051277475,0.1210471509293848,0.08201957484326888,0.7315638024291309,0.3670950412475088,-0.027832732992180913,0.08885277334574776,-0.024389057403154293,0.18517648488250787,0.2030078043068301,0.12440925595851526,1.0,0.4011961902914546,0.027176438094331033,0.14040164438962544,0.013858064940842367
earnings_growth_neutral_z,-0.07151998439128542,0.1263251679709947,0.11880432001783521,0.06288497417996426,0.28548592537686257,0.5139414628566705,-0.037422319920425,0.01750261101048107,-0.015922019278762207,0.2644142211003714,0.2273502203277582,0.12131595060349253,0.4011961902914546,1.0,-0.016219115469797554,0.07118028949995268,-0.012575610903481672
rolling_beta_neutral_z,-0.02248082179711875,-0.07869789887532215,-0.08863218015457627,-0.038025694680737694,0.01596547603707346,-0.03549068238792628,0.6639079071628923,0.31800641208801683,0.5071772765217344,-0.09158959811115615,-0.0907545179130505,-0.039214458425457135,0.027176438094331033,-0.016219115469797554,1.0,0.3995295697612118,0.7005774884981182
